"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"16692680","06/03/2006","22:30:00","QUEENS","OUTSIDE","113","0","STREET",,"1041715","188851","-73.79280353","40.68485082"
"16692682","06/05/2006","11:50:00","BROOKLYN","OUTSIDE","77","0","STREET",,"997689","184653","-73.95155358","40.67350459"
"16733758","06/07/2006","21:41:00","BROOKLYN","OUTSIDE","61","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001791","155776","-73.93684085","40.59423619"
"16733781","06/12/2006","13:56:00","BROOKLYN","OUTSIDE","83","0","STREET",,"1006892","190126","-73.9183582","40.68850798"
"16814018","06/15/2006","16:49:00","BROOKLYN","OUTSIDE","77","0","STREET",,"995528","184065","-73.95934501","40.67189368"
"16814020","06/15/2006","23:34:00","BROOKLYN","OUTSIDE","73","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1010272","183760","-73.90619508","40.67102546"
"16814040","06/19/2006","00:52:00","MANHATTAN","OUTSIDE","28","0",,,"996959","232155","-73.95409551","40.80388686"
"16814048","06/18/2006","00:05:00","BROOKLYN","OUTSIDE","67","0","STREET","NONE","997814","176683","-73.95111898","40.65162851"
"16895006","06/19/2006","00:37:00","MANHATTAN","OUTSIDE","33","0","STREET",,"1002590","246866","-73.93371568","40.84425448"
"16895012","06/21/2006","02:02:00","BRONX","OUTSIDE","43","0","STREET",,"1022618","239049","-73.8613738","40.82273479"
"16895022","06/23/2006","01:44:00","BROOKLYN","OUTSIDE","70","0","STREET","NONE","995723","174752","-73.95865789","40.64633129"
"16895023","06/23/2006","03:05:00","BROOKLYN","OUTSIDE","76","2","HOUSING","MULTI DWELL - PUBLIC HOUS","987677","188042","-73.98764532","40.68281617"
"16895031","06/22/2006","02:38:00","BROOKLYN","OUTSIDE","81","2","HOUSING","MULTI DWELL - APT BUILD","1004899","187202","-73.92555358","40.68048714"
"23354047","06/26/2006","22:11:00","QUEENS","OUTSIDE","109","0","STREET",,"1033462","215983","-73.82236238","40.75937119"
"23354054","06/28/2006","00:29:00","BROOKLYN","OUTSIDE","77","0","STREET",,"991752","187168","-73.97295378","40.68041472"
"23354080","06/30/2006","20:47:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1002064","229163","-73.93566377","40.79566582"
"23354084","07/01/2006","04:30:00","BRONX","INSIDE","41","0","DWELLING","MULTI DWELL - APT BUILD","1012550","236625","-73.89776074","40.81611959"
"23354092","07/04/2006","00:05:00","BROOKLYN","OUTSIDE","71","0","STREET","MULTI DWELL - APT BUILD","996148","181563","-73.95711437","40.66502544"
"23354102","07/04/2006","02:45:00","QUEENS","OUTSIDE","105","0","COMMERCIAL","BAR/NIGHT CLUB","1059079","191840","-73.7301624","40.69292514"
"23354103","07/05/2006","07:50:00","BROOKLYN","OUTSIDE","81","0","STREET","GROCERY/BODEGA","1003998","187611","-73.92880085","40.68161181"
"23354119","07/09/2006","04:42:00","BROOKLYN","OUTSIDE","63","0","STREET","RESTAURANT/DINER","1006877","169152","-73.91848267","40.63093902"
"23354135","07/10/2006","19:47:00","BROOKLYN","OUTSIDE","60","0","PLAYGROUND",,"984147","150277","-74.00037223","40.57915988"
"23421765","07/13/2006","11:30:00","QUEENS","OUTSIDE","113","0","STREET",,"1042079","184712","-73.7915266","40.67348786"
"23501819","07/22/2006","03:04:00","BRONX","OUTSIDE","44","0","STREET","BAR/NIGHT CLUB","1007027","245405","-73.91768411","40.84023414"
"23549336","07/24/2006","04:00:00","STATEN ISLAND","OUTSIDE","120","0","DWELLING","PVT HOUSE","938591","167277","-74.16448526","40.62570376"
"23549341","07/26/2006","00:49:00","BROOKLYN","OUTSIDE","73","0","DWELLING","MULTI DWELL - APT BUILD","1008349","186173","-73.91311865","40.67765405"
